FID,longitude,latitude,Vs30,EAF1,EAF2,EAF3,EAF4,EAF5,2sec_Amplification,3sec_Amplification,5sec_Amplification,10sec_Amplification,StationNam,
91,-118.533,34.387,269,2.820400525,2.747750943,2.68171148,2.88994908,3.322137257,0.711152315,0.705255747,0.653763831,0.49154821,Newhall-FireSta,
92,-117.902,33.634,340,3.43913745,4.548652783,4.346937039,3.358690004,2.471585905,-0.127292573,-0.04872917,0.120097868,0.13697888,NewportBch-IrvineAve.F.S,
93,-117.906,33.604,278,2.738718542,3.406108542,4.514703143,3.367634553,2.901588932,-0.163993597,-0.09557797,0.084213868,0.111689419,NewportBeach-BalboaMedina,
94,-118.36,34.176,290,2.856529098,2.820333169,3.050507231,2.666961056,2.291131892,0.504077137,0.599374294,0.3472974,0.094981134,NorthHollywood,
95,-118.558,34.229,292,4.976978867,4.82816412,5.11303141,5.018154678,4.780004731,0.482426524,0.575954258,0.536666572,0.352019966,Northridge,
96,-117.924,33.945,415,2.490502525,2.468875483,2.378339627,2.486114104,2.400353827,0.720584631,0.850870192,0.7842291,0.483316034,Olinda,
97,-117.803,33.927,378,1.46419581,1.370169454,1.598443307,0,0,0.372217298,0.46580103,0.460287303,0.205944106,Olinda-CarbonCanyonRd,
98,-117.844,33.788,318,2.463341336,3.0721202,2.849400006,3.078065311,2.85598515,0.39589107,0.484655261,0.514096558,0.281357944,Orange(Chapman),
99,-118.724,34.614,417,1.547350462,1.279081534,1.29770692,1.225596838,1.174188556,0.266328275,0.02106438,-0.163769424,0.01730101,OsitoAudit:CastaicLakeDam,
100,-118.375,34.296,508,3.738439767,2.902874614,2.384153142,2.139865132,1.736428785,0.43624416,0.429432124,0.342470318,0.21137172,PacoimaKagelCanyon,
101,-117.638,34.121,389,1.666840547,1.881305439,1.681575547,1.473940742,1.395611114,0.435484141,0.186785847,0.050879363,-0.085858375,Padua,
102,-118.114,34.578,453,2.556708911,2.519040554,1.508012042,1.235465992,1.116397217,-0.103889339,-0.103045553,-0.097204544,-0.09931659,PalmdaleFireStation,
103,-117.805,34.393,488,0.757008486,0.563962513,0.80834973,0.920317057,0,-0.042664934,-0.02455101,-0.043449286,-0.085838504,ParadiseSprings-CampOffice,
104,-118.582,34.442,472,2.657662899,2.767810466,2.64444776,2.496758136,2.49187599,0.878967166,0.819272935,0.694417417,0.517823339,Pardee,
105,-118.171,34.148,640,0.822920432,0.836091291,0.842362929,0.889622608,0.851811588,0.386249602,0.226864532,0.041916005,-0.041803882,Pasadena(PASA),
106,-117.23,33.787,518,0.763166407,0.792350111,0,0,0,-0.931424677,-0.99198842,-0.896494448,-0.654243886,Perris-SanJacintoCStreet,
107,-117.544,34.425,403,2.325308893,3.328929541,2.594739952,0,0,0.144176051,0.099392168,0.118772097,0.013103085,Phelan-CentolaPhelanRds,
108,-118.077,34.002,261,2.668613426,3.373614786,2.255228185,2.712579401,2.622604796,0.82896924,0.963718891,0.97234416,0.684685886,PicoRivera-DurfeeWhittier,
109,-118.437,33.963,402,2.578174287,2.95562785,3.880423802,4.269410622,4.112595343,0.444597155,0.597512722,0.784983933,0.642307758,PlayaDelRey,
110,-117.609,33.795,699,1.822448781,1.32231281,1.206608532,1.298449176,1.304609466,-0.584505975,-0.50315702,-0.409463406,-0.33989346,PleasantsPeak,
111,-117.748,34.056,384,2.321227108,2.858428308,2.296157069,2.029056341,2.311324371,0.381691813,0.345077336,0.166610643,-0.021699635,Pomona-4thLocustFF,
112,-117.807,34.092,463,2.042346889,1.875136551,1.705493974,1.582709764,1.82310691,0.262691945,0.249876246,0.145559624,0.001636977,PuddingstoneReservoir,
113,-118.498,34.396,395,2.292814016,2.475544073,2.113695599,1.870226246,2.048018871,0.687421381,0.64940685,0.577502072,0.418734312,QuigleyStation,
114,-117.54,34.123,380,1.412225496,1.640109669,1.670525433,0,0,0.378563821,0.106988788,-0.014193837,-0.116987564,RanchoCucamonga-BaselineRochester,
